xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	6.000000001699456479e+05	4.500000000000000000e+00	1.396074484616740676e+02	2.402340412923507917e-01	4.026507168672055494e-06	1.432076813157669326e+00	2.846132373228988399e+03	3.614772754663900287e+03	2.330216258124484739e+03	2.460577775192014087e+02	2.208956746993476911e-02	2.425138517560442324e+03	6.589041831436823760e-01	2.180000000000000473e-05
4.169914668177176348e-02	5.999994806839794619e+05	4.500000888554377632e+00	1.396074243708465303e+02	2.402340692227825647e-01	4.026506314654599917e-06	1.432076706841373781e+00	2.846130130867976732e+03	3.614773689981782809e+03	2.330216372987719296e+03	2.460577200027295248e+02	2.208956486106629369e-02	2.425139031929591511e+03	6.589042917007633671e-01	2.179999877270821426e-05
8.339829336354352696e-02	5.999989609279234428e+05	4.500001793453998644e+00	1.396074000768208236e+02	2.402341235813811315e-01	4.026505460637144341e-06	1.432076600525078236e+00	2.846127888506965064e+03	3.614774625299665331e+03	2.330216487850953399e+03	2.460576624862575841e+02	2.208956225219781133e-02	2.425139546298958521e+03	6.589044002577978398e-01	2.179999991190468864e-05
1.250974400453152835e-01	5.999984414400738897e+05	4.500002776131466931e+00	1.396073748561792627e+02	2.402341522070033930e-01	4.026504606619688764e-06	1.432076494208782469e+00	2.846125646145952942e+03	3.614775560617547399e+03	2.330216602714187502e+03	2.460576049697856433e+02	2.208955964332933244e-02	2.425140060668543811e+03	6.589045088147855722e-01	2.179999857127270699e-05
1.667965867270870539e-01	5.999979216856730636e+05	4.500003841437076879e+00	1.396073486368813121e+02	2.402342097364655593e-01	4.026503752602234035e-06	1.432076387892487146e+00	2.846123403784941729e+03	3.614776495935429921e+03	2.330216717577421150e+03	2.460575474533137594e+02	2.208955703446085356e-02	2.425140575038346924e+03	6.589046173717266752e-01	2.179999969756986908e-05
2.084957334088588243e-01	5.999974021957721561e+05	4.500004983442137174e+00	1.396073215038045987e+02	2.402342417792298901e-01	4.026502898584778458e-06	1.432076281576191601e+00	2.846121161423930062e+03	3.614777431253312443e+03	2.330216832440655708e+03	2.460574899368418187e+02	2.208955442559237467e-02	2.425141089408368316e+03	6.589047259286210378e-01	2.179999836839218862e-05
2.501948800906305670e-01	5.999968824429995148e+05	4.500006193536274957e+00	1.396072935466584681e+02	2.402343024356216605e-01	4.026502044567322882e-06	1.432076175259896056e+00	2.846118919062917939e+03	3.614778366571194965e+03	2.330216947303889356e+03	2.460574324203698779e+02	2.208955181672389231e-02	2.425141603778608896e+03	6.589048344854688821e-01	2.179999950706926917e-05
2.918940267724023374e-01	5.999963629510563333e+05	4.500007464378095179e+00	1.396072648670876220e+02	2.402343372981049219e-01	4.026501190549867305e-06	1.432076068943600511e+00	2.846116676701906727e+03	3.614779301889077033e+03	2.330217062167123458e+03	2.460573749038979940e+02	2.208954920785541343e-02	2.425142118149066391e+03	6.589049430422697640e-01	2.179999819227477058e-05
3.335931734541741078e-01	5.999958431999256136e+05	4.500008788515608593e+00	1.396072355410893522e+02	2.402344004266331323e-01	4.026500336532411729e-06	1.432075962627304966e+00	2.846114434340894604e+03	3.614780237206959555e+03	2.330217177030357561e+03	2.460573173874260533e+02	2.208954659898693454e-02	2.425142632519742619e+03	6.589050515990241275e-01	2.179999934153167550e-05
3.752923201359458782e-01	5.999953237059550593e+05	4.500010160162311479e+00	1.396072056514573774e+02	2.402344375009644595e-01	4.026499482514956999e-06	1.432075856311009421e+00	2.846112191979882937e+03	3.614781172524842077e+03	2.330217291893591664e+03	2.460572598709541410e+02	2.208954399011845565e-02	2.425143146890637126e+03	6.589051601557318616e-01	2.179999803849356392e-05
4.169914668177176487e-01	5.999948039564777864e+05	4.500011573378209562e+00	1.396071752562325798e+02	2.402345025582613147e-01	4.026498628497500576e-06	1.432075749994713876e+00	2.846109949618871724e+03	3.614782107842724145e+03	2.330217406756825767e+03	2.460572023544822287e+02	2.208954138124997676e-02	2.425143661261749912e+03	6.589052687123926333e-01	2.179999919580927922e-05
4.586906134994894191e-01	5.999942844604932470e+05	4.500013023727067463e+00	1.396071444218131887e+02	2.402345413625198711e-01	4.026497774480044999e-06	1.432075643678418109e+00	2.846107707257860056e+03	3.614783043160606667e+03	2.330217521620059870e+03	2.460571448380102879e+02	2.208953877238149788e-02	2.425144175633080522e+03	6.589053772690069977e-01	2.179999790221848863e-05
